n,density,op,impl,ms
100,0.01,add,dict,0.024499953724443913
100,0.01,add,tree,0.8559999987483025
100,0.01,add,dense,3.5297999856993556
100,0.01,scale,dict,0.0171000137925148
100,0.01,scale,tree,0.3347999881953001
100,0.01,scale,dense,2.326599962543696
100,0.01,matmul,dict,0.03400002606213093
100,0.01,matmul,tree,0.6299000233411789
100,0.01,matmul,dense,4.812999977730215
100,0.05,add,dict,0.0887999776750803
100,0.05,add,tree,5.608599982224405
100,0.05,add,dense,3.5907000419683754
100,0.05,scale,dict,0.05530001362785697
100,0.05,scale,tree,2.24309996701777
100,0.05,scale,dense,2.450799976941198
100,0.05,matmul,dict,0.43809995986521244
100,0.05,matmul,tree,18.325299955904484
100,0.05,matmul,dense,18.772900046315044
100,0.1,add,dict,0.159399991389364
100,0.1,add,tree,11.71520003117621
100,0.1,add,dense,3.4943000064231455
100,0.1,scale,dict,0.10569998994469643
100,0.1,scale,tree,4.8037999658845365
100,0.1,scale,dense,2.3802999639883637
100,0.1,matmul,dict,1.2574000284075737
100,0.1,matmul,tree,78.54529999895021
100,0.1,matmul,dense,36.14390001166612
100,0.2,add,dict,0.2615000121295452
100,0.2,add,tree,26.59780002431944
100,0.2,add,dense,4.230600025039166
100,0.2,scale,dict,0.19689998589456081
100,0.2,scale,tree,11.455999978352338
100,0.2,scale,dense,2.5183999678120017
100,0.2,matmul,dict,3.3661999623291194
100,0.2,matmul,tree,307.66450002556667
100,0.2,matmul,dense,91.00979997310787
1000,0.01,add,dict,1.95419997908175
1000,0.01,add,tree,162.2213000082411
1000,0.01,add,dense,408.1550000119023
1000,0.01,scale,dict,1.4557000249624252
1000,0.01,scale,tree,67.09389999741688
1000,0.01,scale,dense,254.33490000432357
1000,0.01,matmul,dict,20.73329995619133
1000,0.01,matmul,tree,1072.4094999604858
1000,0.01,matmul,dense,3861.081600014586
1000,0.05,add,dict,14.741700026206672
1000,0.05,add,tree,1005.5019000428729
1000,0.05,add,dense,384.13899997249246
1000,0.05,scale,dict,6.923099979758263
1000,0.05,scale,tree,393.86070001637563
1000,0.05,scale,dense,255.7832000311464
1000,0.05,matmul,dict,356.5798999625258
1000,0.05,matmul,tree,29712.434500048403
1000,0.05,matmul,dense,17549.0324999555
1000,0.1,add,dict,29.45590001763776
1000,0.1,add,tree,2135.699799982831
1000,0.1,add,dense,391.1561000277288
1000,0.1,scale,dict,16.945899988058954
1000,0.1,scale,tree,841.1946999840438
1000,0.1,scale,dense,257.93009996414185
1000,0.1,matmul,dict,1013.2408999488689
1000,0.1,matmul,tree,108868.9439999871
1000,0.1,matmul,dense,34950.78020001529
1000,0.2,add,dict,78.49440001882613
1000,0.2,add,tree,4620.28840003768
1000,0.2,add,dense,411.2835999694653
1000,0.2,scale,dict,41.65240004658699
1000,0.2,scale,tree,1997.0334999961779
1000,0.2,scale,dense,273.9720999961719
1000,0.2,matmul,dict,5940.635700011626
1000,0.2,matmul,tree,415806.6145000048
1000,0.2,matmul,dense,72490.67080003442
200,0.01,add,dict,0.11199997970834374
200,0.01,add,tree,4.225099983159453
200,0.01,add,dense,14.117200043983757
200,0.01,scale,dict,0.057500030379742384
200,0.01,scale,tree,1.6852999688126147
200,0.01,scale,dense,9.278300043661147
200,0.01,matmul,dict,0.19519997294992208
200,0.01,matmul,tree,5.674000014550984
200,0.01,matmul,dense,32.29190001729876
200,0.05,add,dict,0.2976000541821122
200,0.05,add,tree,26.41570003470406
200,0.05,add,dense,13.76570004504174
200,0.05,scale,dict,0.2057999954558909
200,0.05,scale,tree,10.719100013375282
200,0.05,scale,dense,10.098300001118332
200,0.05,matmul,dict,2.891699958126992
200,0.05,matmul,tree,177.15429997770116
200,0.05,matmul,dense,146.32279996294528
200,0.1,add,dict,0.5419999943114817
200,0.1,add,tree,56.90429999958724
200,0.1,add,dense,14.153099968098104
200,0.1,scale,dict,0.40550000267103314
200,0.1,scale,tree,23.43309996649623
200,0.1,scale,dense,9.589599969331175
200,0.1,matmul,dict,8.31780000589788
200,0.1,matmul,tree,722.1153999562375
200,0.1,matmul,dense,287.5349000096321
200,0.2,add,dict,1.1346000246703625
200,0.2,add,tree,119.67739998362958
200,0.2,add,dense,14.511100016534328
200,0.2,scale,dict,0.724000041373074
200,0.2,scale,tree,51.125099998898804
200,0.2,scale,dense,9.405599965248257
200,0.2,matmul,dict,21.4463000302203
200,0.2,matmul,tree,2729.371399967931
200,0.2,matmul,dense,548.2361000031233
500,0.01,add,dict,0.8417000062763691
500,0.01,add,tree,34.75510003045201
500,0.01,add,dense,92.59160002693534
500,0.01,scale,dict,0.45089999912306666
500,0.01,scale,tree,14.836199989076704
500,0.01,scale,dense,62.56699998630211
500,0.01,matmul,dict,2.918899990618229
500,0.01,matmul,tree,119.35529997572303
500,0.01,matmul,dense,560.4681000113487
500,0.05,add,dict,2.4917999980971217
500,0.05,add,tree,211.56590001191944
500,0.05,add,dense,93.95310003310442
500,0.05,scale,dict,1.6154000186361372
500,0.05,scale,tree,84.67589999781922
500,0.05,scale,dense,61.62100000074133
500,0.05,matmul,dict,46.73419997561723
500,0.05,matmul,tree,3433.2619999768212
500,0.05,matmul,dense,2273.597499995958
500,0.1,add,dict,5.094200023449957
500,0.1,add,tree,434.6829999703914
500,0.1,add,dense,95.00690002460033
500,0.1,scale,dict,3.1109999981708825
500,0.1,scale,tree,184.75929996930063
500,0.1,scale,dense,75.94110001809895
500,0.1,matmul,dict,123.9452000008896
500,0.1,matmul,tree,12341.655900003389
500,0.1,matmul,dense,4347.631699987687
500,0.2,add,dict,12.787199986632913
500,0.2,add,tree,951.1279000435024
500,0.2,add,dense,96.65770002175122
500,0.2,scale,dict,6.328499992378056
500,0.2,scale,tree,418.32529997918755
500,0.2,scale,dense,64.00899996515363
500,0.2,matmul,dict,388.62099999096245
500,0.2,matmul,tree,47412.21789998235
500,0.2,matmul,dense,8852.440599992406
